,median,mean,std,lower_95,upper_95,lower_90,upper_90,lower_68,upper_68
17082,3.018433049406037,3.0184330494060365,4.440892098500626e-16,3.018433049406037,3.018433049406037,3.018433049406037,3.018433049406037,3.018433049406037,3.018433049406037
17083,3.524205466705755,3.5242054667057543,8.881784197001252e-16,3.524205466705755,3.524205466705755,3.524205466705755,3.524205466705755,3.524205466705755,3.524205466705755
17084,2.8148824075210017,2.814882407521002,4.440892098500626e-16,2.8148824075210017,2.8148824075210017,2.8148824075210017,2.8148824075210017,2.8148824075210017,2.8148824075210017
17085,3.349418629169608,3.3494186291696066,1.3322676295501878e-15,3.349418629169608,3.349418629169608,3.349418629169608,3.349418629169608,3.349418629169608,3.349418629169608
17086,3.5835938799356946,3.5835938799356923,2.220446049250313e-15,3.5835938799356946,3.5835938799356946,3.5835938799356946,3.5835938799356946,3.5835938799356946,3.5835938799356946
17087,3.550060459628129,3.5500604596281278,1.3322676295501878e-15,3.550060459628129,3.550060459628129,3.550060459628129,3.550060459628129,3.550060459628129,3.550060459628129
17088,3.9317342093831074,3.9317342093831082,8.881784197001252e-16,3.9317342093831074,3.9317342093831074,3.9317342093831074,3.9317342093831074,3.9317342093831074,3.9317342093831074
17089,3.458092444575798,3.4580924445757977,4.440892098500626e-16,3.458092444575798,3.458092444575798,3.458092444575798,3.458092444575798,3.458092444575798,3.458092444575798
17090,2.8572679684701954,2.8572679684701967,1.3322676295501878e-15,2.8572679684701954,2.8572679684701954,2.8572679684701954,2.8572679684701954,2.8572679684701954,2.8572679684701954
17091,3.250221550549504,3.250221550549504,0.0,3.250221550549504,3.250221550549504,3.250221550549504,3.250221550549504,3.250221550549504,3.250221550549504
17092,3.0076777834987585,3.0076777834987576,8.881784197001252e-16,3.0076777834987585,3.0076777834987585,3.0076777834987585,3.0076777834987585,3.0076777834987585,3.0076777834987585
17093,4.014279873000892,4.014279873000893,8.881784197001252e-16,4.014279873000892,4.014279873000892,4.014279873000892,4.014279873000892,4.014279873000892,4.014279873000892
17094,2.9035341765042166,2.903534176504217,4.440892098500626e-16,2.9035341765042166,2.9035341765042166,2.9035341765042166,2.9035341765042166,2.9035341765042166,2.9035341765042166
17095,3.1859224835874866,3.1859224835874875,8.881784197001252e-16,3.1859224835874866,3.1859224835874866,3.1859224835874866,3.1859224835874866,3.1859224835874866,3.1859224835874866
17096,3.2724447047612797,3.272444704761279,8.881784197001252e-16,3.2724447047612797,3.2724447047612797,3.2724447047612797,3.2724447047612797,3.2724447047612797,3.2724447047612797
17097,3.6125486423845765,3.612548642384575,1.3322676295501878e-15,3.6125486423845765,3.6125486423845765,3.6125486423845765,3.6125486423845765,3.6125486423845765,3.6125486423845765
17098,2.863849039507548,2.863849039507549,8.881784197001252e-16,2.863849039507548,2.863849039507548,2.863849039507548,2.863849039507548,2.863849039507548,2.863849039507548
17099,3.859160634271961,3.85916063427196,8.881784197001252e-16,3.859160634271961,3.859160634271961,3.859160634271961,3.859160634271961,3.859160634271961,3.859160634271961
17100,2.6937130114548613,2.6937130114548613,0.0,2.6937130114548613,2.6937130114548613,2.6937130114548613,2.6937130114548613,2.6937130114548613,2.6937130114548613
17101,3.648657714295723,3.6486577142957235,4.440892098500626e-16,3.648657714295723,3.648657714295723,3.648657714295723,3.648657714295723,3.648657714295723,3.648657714295723
17102,2.901542359689441,2.9015423596894414,4.440892098500626e-16,2.901542359689441,2.901542359689441,2.901542359689441,2.901542359689441,2.901542359689441,2.901542359689441
17103,3.7749637891170096,3.7749637891170096,0.0,3.7749637891170096,3.7749637891170096,3.7749637891170096,3.7749637891170096,3.7749637891170096,3.7749637891170096
17104,3.6360564875279513,3.6360564875279517,4.440892098500626e-16,3.6360564875279513,3.6360564875279513,3.6360564875279513,3.6360564875279513,3.6360564875279513,3.6360564875279513
